latency,type,dataset,third,N1,resp
1859.3,1,NeoRec_2018-07-06_14-02-33,1,-0.6897523,high
1970.4,1,NeoRec_2018-07-06_14-02-33,1,1.116475,high
2086,1,NeoRec_2018-07-06_14-02-33,1,3.292788,high
2177,1,NeoRec_2018-07-06_14-02-33,1,4.464409,high
2281,1,NeoRec_2018-07-06_14-02-33,1,-1.843367,high
2371,1,NeoRec_2018-07-06_14-02-33,1,-5.291276,high
2453,1,NeoRec_2018-07-06_14-02-33,1,1.215345,high
2552.5,1,NeoRec_2018-07-06_14-02-33,1,2.33989,high
2646.9,1,NeoRec_2018-07-06_14-02-33,1,3.404803,high
2756.5,1,NeoRec_2018-07-06_14-02-33,1,-5.712008,high
2861.7,1,NeoRec_2018-07-06_14-02-33,1,1.164142,high
2972.1,1,NeoRec_2018-07-06_14-02-33,1,-0.1042666,high
3089.7,1,NeoRec_2018-07-06_14-02-33,1,-0.4419035,high
3205.8,1,NeoRec_2018-07-06_14-02-33,1,0.09423181,high
3296.2,1,NeoRec_2018-07-06_14-02-33,1,-6.34281,high
3405.2,1,NeoRec_2018-07-06_14-02-33,1,2.059951,high
3520.4,1,NeoRec_2018-07-06_14-02-33,1,-0.1937965,high
3626.6,1,NeoRec_2018-07-06_14-02-33,1,5.072604,high
3746.5,1,NeoRec_2018-07-06_14-02-33,1,-4.008319,high
3844.5,1,NeoRec_2018-07-06_14-02-33,1,-1.981924,high
3929.1,1,NeoRec_2018-07-06_14-02-33,1,-1.660249,high
4024.5,1,NeoRec_2018-07-06_14-02-33,1,-2.49355,high
4123.5,1,NeoRec_2018-07-06_14-02-33,1,-3.347046,high
4234.7,1,NeoRec_2018-07-06_14-02-33,1,-2.928883,high
4323.6,1,NeoRec_2018-07-06_14-02-33,1,-2.142394,high
4431.6,1,NeoRec_2018-07-06_14-02-33,1,5.142207,high
4537,1,NeoRec_2018-07-06_14-02-33,1,0.07811294,high
4646.2,1,NeoRec_2018-07-06_14-02-33,1,-6.561472,high
4754.6,1,NeoRec_2018-07-06_14-02-33,2,2.8915,high
4865.3,1,NeoRec_2018-07-06_14-02-33,2,-3.225004,high
4952.3,1,NeoRec_2018-07-06_14-02-33,2,7.462053,high
5059.1,1,NeoRec_2018-07-06_14-02-33,2,-9.312847,high
5176.3,1,NeoRec_2018-07-06_14-02-33,2,-8.259421,high
5292.9,1,NeoRec_2018-07-06_14-02-33,2,0.9623448,high
5374.5,1,NeoRec_2018-07-06_14-02-33,2,5.216707,high
5473,1,NeoRec_2018-07-06_14-02-33,2,0.2321698,high
5567.2,1,NeoRec_2018-07-06_14-02-33,2,-5.620833,high
5686,1,NeoRec_2018-07-06_14-02-33,2,0.3645864,high
5771.2,1,NeoRec_2018-07-06_14-02-33,2,2.688092,high
5855,1,NeoRec_2018-07-06_14-02-33,2,-2.833245,high
5970.8,1,NeoRec_2018-07-06_14-02-33,2,3.992224,high
6085.9,1,NeoRec_2018-07-06_14-02-33,2,1.911899,high
6187.7,1,NeoRec_2018-07-06_14-02-33,2,-5.545287,high
6268.9,1,NeoRec_2018-07-06_14-02-33,2,-6.525181,high
6360.7,1,NeoRec_2018-07-06_14-02-33,2,2.600093,high
6458.7,1,NeoRec_2018-07-06_14-02-33,2,-3.779975,high
6568.1,1,NeoRec_2018-07-06_14-02-33,2,-0.3843664,high
6651.6,1,NeoRec_2018-07-06_14-02-33,2,0.7672092,high
6733.2,1,NeoRec_2018-07-06_14-02-33,2,5.911219,high
6822.4,1,NeoRec_2018-07-06_14-02-33,2,-7.266426,high
6937.6,1,NeoRec_2018-07-06_14-02-33,2,1.023446,high
7021,1,NeoRec_2018-07-06_14-02-33,2,10.01402,high
7138,1,NeoRec_2018-07-06_14-02-33,2,-4.462411,high
7235.5,1,NeoRec_2018-07-06_14-02-33,2,3.168457,high
7317.1,1,NeoRec_2018-07-06_14-02-33,2,-0.2216317,high
7428.5,1,NeoRec_2018-07-06_14-02-33,2,-2.286392,high
7523.1,1,NeoRec_2018-07-06_14-02-33,2,0.7566355,high
7604.7,1,NeoRec_2018-07-06_14-02-33,2,0.1098699,high
7712.7,1,NeoRec_2018-07-06_14-02-33,2,-2.613345,high
7813,1,NeoRec_2018-07-06_14-02-33,2,-4.182403,high
7933,1,NeoRec_2018-07-06_14-02-33,2,-1.673389,high
8047.8,1,NeoRec_2018-07-06_14-02-33,2,4.249996,high
8141,1,NeoRec_2018-07-06_14-02-33,2,-6.70788,high
8244.4,1,NeoRec_2018-07-06_14-02-33,2,4.378717,high
8347,1,NeoRec_2018-07-06_14-02-33,2,-1.754399,high
8464.1,1,NeoRec_2018-07-06_14-02-33,2,-1.599931,high
8548.1,1,NeoRec_2018-07-06_14-02-33,2,2.575114,high
8651.9,1,NeoRec_2018-07-06_14-02-33,2,2.163457,high
8771.3,1,NeoRec_2018-07-06_14-02-33,2,3.535612,high
8884.1,1,NeoRec_2018-07-06_14-02-33,2,-1.222911,high
8990,1,NeoRec_2018-07-06_14-02-33,2,0.9447,high
9103.2,1,NeoRec_2018-07-06_14-02-33,2,-5.282683,high
9199.8,1,NeoRec_2018-07-06_14-02-33,2,-4.877361,high
9297,1,NeoRec_2018-07-06_14-02-33,2,4.112045,high
9397.4,1,NeoRec_2018-07-06_14-02-33,2,0.06717753,high
9491.2,1,NeoRec_2018-07-06_14-02-33,2,-6.750585,high
9578.3,1,NeoRec_2018-07-06_14-02-33,2,6.57897,high
9661.1,1,NeoRec_2018-07-06_14-02-33,2,-0.277258,high
9760.3,1,NeoRec_2018-07-06_14-02-33,2,-0.1292504,high
9852.9,1,NeoRec_2018-07-06_14-02-33,2,-2.661513,high
9965.7,1,NeoRec_2018-07-06_14-02-33,2,-8.129828,high
10057.5,1,NeoRec_2018-07-06_14-02-33,2,0.2821143,high
10146.8,1,NeoRec_2018-07-06_14-02-33,2,-2.191478,high
10229.6,1,NeoRec_2018-07-06_14-02-33,2,-1.442224,high
10337.6,1,NeoRec_2018-07-06_14-02-33,2,-5.475531,high
10453.6,1,NeoRec_2018-07-06_14-02-33,2,-0.3073567,high
10541,1,NeoRec_2018-07-06_14-02-33,3,-5.308883,high
10660.4,1,NeoRec_2018-07-06_14-02-33,3,-2.850817,high
10756.5,1,NeoRec_2018-07-06_14-02-33,3,-1.85811,high
10870.7,1,NeoRec_2018-07-06_14-02-33,3,-9.097878,high
10988.3,1,NeoRec_2018-07-06_14-02-33,3,-1.529815,high
11108.3,1,NeoRec_2018-07-06_14-02-33,3,-5.422777,high
11210.9,1,NeoRec_2018-07-06_14-02-33,3,-4.47359,high
11324.4,1,NeoRec_2018-07-06_14-02-33,3,5.728891,high
11438,1,NeoRec_2018-07-06_14-02-33,3,-3.802062,high
11556.2,1,NeoRec_2018-07-06_14-02-33,3,3.376054,high
11652,1,NeoRec_2018-07-06_14-02-33,3,-6.598724,high
11762,1,NeoRec_2018-07-06_14-02-33,3,-7.331414,high
11866.4,1,NeoRec_2018-07-06_14-02-33,3,-8.614895,high
11983.9,1,NeoRec_2018-07-06_14-02-33,3,-1.895036,high
12075.1,1,NeoRec_2018-07-06_14-02-33,3,-1.115581,high
12162.3,1,NeoRec_2018-07-06_14-02-33,3,3.958135,high
12258.5,1,NeoRec_2018-07-06_14-02-33,3,-4.116879,high
12346.5,1,NeoRec_2018-07-06_14-02-33,3,1.446183,high
12446.5,1,NeoRec_2018-07-06_14-02-33,3,1.647441,high
12564.8,1,NeoRec_2018-07-06_14-02-33,3,3.043342,high
12648.4,1,NeoRec_2018-07-06_14-02-33,3,2.72428,high
12730.4,1,NeoRec_2018-07-06_14-02-33,3,-1.625261,high
12847.4,1,NeoRec_2018-07-06_14-02-33,3,-2.59234,high
12964,1,NeoRec_2018-07-06_14-02-33,3,-7.129005,high
13051.6,1,NeoRec_2018-07-06_14-02-33,3,-0.3247479,high
13141.3,1,NeoRec_2018-07-06_14-02-33,3,2.492372,high
13228.5,1,NeoRec_2018-07-06_14-02-33,3,4.159943,high
13325.1,1,NeoRec_2018-07-06_14-02-33,3,-8.710887,high
21994.3,2,NeoRec_2018-07-06_14-02-33,1,-10.36095,low
22104.5,2,NeoRec_2018-07-06_14-02-33,1,5.295477,low
22217.5,2,NeoRec_2018-07-06_14-02-33,1,5.364324,low
22322.3,2,NeoRec_2018-07-06_14-02-33,1,0.07947543,low
22424,2,NeoRec_2018-07-06_14-02-33,1,1.058474,low
22533.4,2,NeoRec_2018-07-06_14-02-33,1,-8.101831,low
22636.6,2,NeoRec_2018-07-06_14-02-33,1,-3.977184,low
22721.2,2,NeoRec_2018-07-06_14-02-33,1,6.762465,low
22803.4,2,NeoRec_2018-07-06_14-02-33,1,3.722463,low
22899.8,2,NeoRec_2018-07-06_14-02-33,1,3.731393,low
22993.9,2,NeoRec_2018-07-06_14-02-33,1,3.905163,low
23077.5,2,NeoRec_2018-07-06_14-02-33,1,0.2749464,low
23194.9,2,NeoRec_2018-07-06_14-02-33,1,-0.2011637,low
23302.7,2,NeoRec_2018-07-06_14-02-33,1,-1.451161,low
23418.3,2,NeoRec_2018-07-06_14-02-33,1,-2.267222,low
23527.3,2,NeoRec_2018-07-06_14-02-33,1,5.160501,low
23612.2,2,NeoRec_2018-07-06_14-02-33,1,-2.131241,low
23710.4,2,NeoRec_2018-07-06_14-02-33,1,-0.4082286,low
23794.8,2,NeoRec_2018-07-06_14-02-33,1,4.69035,low
23897.8,2,NeoRec_2018-07-06_14-02-33,1,1.008343,low
24014.4,2,NeoRec_2018-07-06_14-02-33,1,1.618495,low
24112.2,2,NeoRec_2018-07-06_14-02-33,1,-8.84837,low
24218.3,2,NeoRec_2018-07-06_14-02-33,1,5.168428,low
24303.1,2,NeoRec_2018-07-06_14-02-33,2,-1.924273,low
24395.5,2,NeoRec_2018-07-06_14-02-33,2,7.104064,low
24496.1,2,NeoRec_2018-07-06_14-02-33,2,5.193823,low
24598.3,2,NeoRec_2018-07-06_14-02-33,2,2.653138,low
24704.2,2,NeoRec_2018-07-06_14-02-33,2,-8.274837,low
24785.8,2,NeoRec_2018-07-06_14-02-33,2,6.621629,low
24902,2,NeoRec_2018-07-06_14-02-33,2,0.6689374,low
25013.4,2,NeoRec_2018-07-06_14-02-33,2,6.050765,low
25096.6,2,NeoRec_2018-07-06_14-02-33,2,4.578554,low
25184.8,2,NeoRec_2018-07-06_14-02-33,2,0.2525691,low
25303,2,NeoRec_2018-07-06_14-02-33,2,3.801178,low
25393.5,2,NeoRec_2018-07-06_14-02-33,2,1.638222,low
25489.3,2,NeoRec_2018-07-06_14-02-33,2,5.830688,low
25603.9,2,NeoRec_2018-07-06_14-02-33,2,-0.3553423,low
25692.3,2,NeoRec_2018-07-06_14-02-33,2,-10.68338,low
25784.7,2,NeoRec_2018-07-06_14-02-33,2,-2.598525,low
25901.6,2,NeoRec_2018-07-06_14-02-33,2,-1.15575,low
25992.4,2,NeoRec_2018-07-06_14-02-33,2,-1.425373,low
26083.8,2,NeoRec_2018-07-06_14-02-33,2,-7.963381,low
26170.4,2,NeoRec_2018-07-06_14-02-33,2,2.635668,low
26282.2,2,NeoRec_2018-07-06_14-02-33,2,-0.6507115,low
26372.4,2,NeoRec_2018-07-06_14-02-33,2,1.240219,low
26468.2,2,NeoRec_2018-07-06_14-02-33,2,-0.8272179,low
26550.3,2,NeoRec_2018-07-06_14-02-33,2,3.086731,low
26660.7,2,NeoRec_2018-07-06_14-02-33,2,3.437124,low
26754.9,2,NeoRec_2018-07-06_14-02-33,2,7.013729,low
26870.7,2,NeoRec_2018-07-06_14-02-33,2,5.614682,low
26981.7,2,NeoRec_2018-07-06_14-02-33,2,-4.366574,low
27091.2,2,NeoRec_2018-07-06_14-02-33,2,-0.9156761,low
27204.4,2,NeoRec_2018-07-06_14-02-33,2,3.470096,low
27319.2,2,NeoRec_2018-07-06_14-02-33,2,-0.7032264,low
27404.6,2,NeoRec_2018-07-06_14-02-33,2,-4.661763,low
27523.4,2,NeoRec_2018-07-06_14-02-33,2,-3.661091,low
27613.4,2,NeoRec_2018-07-06_14-02-33,2,0.1754178,low
27698.7,2,NeoRec_2018-07-06_14-02-33,2,3.355807,low
27803.9,2,NeoRec_2018-07-06_14-02-33,2,-2.095885,low
27899.3,2,NeoRec_2018-07-06_14-02-33,2,2.985362,low
28013.7,2,NeoRec_2018-07-06_14-02-33,2,0.4918984,low
28103.1,2,NeoRec_2018-07-06_14-02-33,2,2.685283,low
